;Rendement
382;0.02732801735081665
383;0.0075995641869677395
384;0.00943466747346264
385;0.06516317941632721
386;0.03627764057029623
387;-0.04967585902369038
388;-0.01387038064859027
389;0.04026516815806772
390;-0.007606519096262048
391;0.06541133534574158
392;0.037138979502074676
393;0.06534461406453801
394;0.06838886743665014
395;-0.03141861474562248
396;0.05537118913525447
397;0.03786161270116906
398;-0.042538174891152775
399;0.03407955506968577
400;-0.05080021834923173
401;0.024177586864412036
402;0.04795551920972543
403;0.0025213876283754644
404;0.04778357753886084
405;0.050621498118511854
406;-0.06978437452667435
407;0.00034871123531800665
408;-0.03487089052290642
409;-0.04276043292542383
410;0.02233604410962769
411;0.04795963822546696
412;-0.020549633432650437
413;-0.029802075870122024
414;-0.03315110139962357
415;-0.039466173214396605
416;0.018342630934103994
417;0.005812283113066457
418;0.0001268308399451712
419;-0.03965662744296054
420;0.015357619401707722
421;0.09946284445423942
422;-0.019551600307469243
423;0.11102653044194583
424;0.041926328887276154
425;-0.043282264937850104
426;0.043305485459563614
427;0.03654157517418227
428;0.017115878462013966
429;-0.09553931653718166
430;0.028163140479702947
431;0.04277434334017698
432;0.041415166384953184
433;0.042373977283717466
434;0.01217855703780259
435;-0.02063732225681818
436;0.053935420439897255
437;-0.030717093484054773
438;-0.025818172986324443
439;0.005370086020641338
440;-0.011460253292368066
441;0.05778640687474976
442;0.04352806521229809
443;-0.04791212416305442
444;0.009839969195629265
445;0.0508436574695115
446;-0.005688012763035175
447;0.0811602045951905
448;-0.01841730832326405
449;0.11152579205280518
450;0.02874977973363954
451;0.005447813479593719
452;0.015971349236178583
453;-0.0045630872198954365
454;0.03198889785531336
455;-0.03369699911574287
456;-0.052455578261248234
457;-0.01100235223624594
458;0.025809194230598253
459;0.020511033257734967
460;0.04043057782590026
461;-0.0041550316209259105
462;-0.003925494614368574
463;0.05521685865461649
464;0.06810420881825394
465;0.018575604780406253
466;-0.012270415549953242
467;0.003545407852835467
468;0.008640116163103072
469;0.013411002817772726
470;0.02570627803530641
471;0.071135142441955
472;0.04676323910236647
473;0.0010155063542886466
474;0.0557661196372581
475;0.053563090510060786
476;0.06577101261177191
477;0.04018597753893815
478;0.10333100364425292
479;0.03683939402910383
480;0.023873332940703876
481;0.02580182005469027
482;0.008014041436470904
483;0.0026992825674021503
484;-0.006698782595599652
485;-0.015820636948460132
486;0.025889309509330473
487;-0.028027122871044412
488;0.05385704768665604
489;0.028264786595486414
490;-0.041640623400457176
491;-0.014277409842149638
492;0.07277145982234699
493;0.021660292167241125
494;-0.040272252360675796
495;0.09262898449563138
496;0.025927643082723505
497;-0.014643931416055835
498;0.07673201908776647
499;-0.07987151116040621
500;0.06581365396980886
501;-0.027832631629875523
502;0.030170694973372464
503;0.020036715224574238
504;0.002652171464977897
505;0.04207381851087504
506;-0.007594983733390421
507;-0.006632989626066604
508;0.11214479528176667
509;-0.02947320480468875
510;0.02093444334803834
511;0.0829075928840237
512;0.043803139574618795
513;0.06958600105874196
514;-0.005190630963087414
515;0.06323648274357253
516;0.06084657625372159
517;-0.012755922176160794
518;0.04404907728427147
519;-0.07676147242232474
520;-0.013058484641537972
521;-0.03710865112467644
522;0.0497852736585358
523;-0.0034812494871462717
524;-0.03883719725993501
525;0.037143096699519165
526;0.03697108153246205
527;0.010972730400177398
528;0.017885342196188675
529;-0.027221153918265628
530;0.054938678232622065
531;-0.029849079702313475
532;0.054247097685521765
533;0.04213586831494382
534;0.004988199806968936
535;-0.028999179811366814
536;0.05460578768655751
537;-0.04076155772472205
538;0.0540269352808707
539;-0.028186611614912493
540;-0.014335623777309507
541;-0.10055271017743252
542;0.005706766913576473
543;0.036387709395942804
544;-0.012541646756052103
545;0.011410907461675208
546;0.047960016070708066
547;0.03960582422799334
548;0.014514977146378812
549;-0.017748537465716935
550;-0.033817038389334184
551;0.061517644712900506
552;0.01935712274094243
553;0.01966593897701813
554;0.02093961821707751
555;0.01913182136454921
556;0.04903495313050073
557;-0.01405364815646024
558;-0.010210823272428655
559;0.005418695092094765
560;0.03594954662861653
561;0.07208341459499508
562;-0.04074664621182293
563;0.04140466675667881
564;0.0057787255565555995
565;-0.03787957120307567
566;0.05507413407514619
567;-0.017490541347281122
568;-0.04185731374922881
569;0.025703863822965474
570;0.02398175238195293
